id,image_name,class,confidence,top-left x-coordinate,top-left y-coordinate,bottom-right x-coordinate,bottom-right y-coordinate
0,test_patient0001_0061,0,0.3250,138,270,150,290
1,test_patient0001_0087,0,0.3107,499,385,511,440
2,test_patient0001_0187,0,0.4027,255,295,304,350
3,test_patient0001_0188,0,0.4218,255,293,306,349
4,test_patient0001_0191,0,0.3991,311,195,325,207
5,test_patient0001_0192,0,0.3046,310,196,325,208
6,test_patient0001_0196,0,0.4197,308,197,320,210
7,test_patient0001_0197,0,0.5251,307,197,320,211
8,test_patient0001_0198,0,0.4758,307,198,320,210
9,test_patient0001_0203,0,0.7905,218,263,242,288
10,test_patient0001_0204,0,0.8006,217,261,241,289
11,test_patient0001_0205,0,0.8151,217,260,243,290
12,test_patient0001_0206,0,0.8160,216,259,244,290
13,test_patient0001_0207,0,0.8258,216,259,244,291
14,test_patient0001_0208,0,0.8350,214,259,245,291
15,test_patient0001_0209,0,0.8618,212,243,247,293
16,test_patient0001_0210,0,0.8709,212,241,248,294
17,test_patient0001_0211,0,0.8622,211,241,249,294
18,test_patient0001_0212,0,0.8726,209,241,251,294
19,test_patient0001_0213,0,0.8805,209,241,254,294
20,test_patient0001_0214,0,0.8785,208,243,256,294
21,test_patient0001_0215,0,0.8871,207,244,257,294
22,test_patient0001_0216,0,0.8913,206,245,258,295
23,test_patient0001_0217,0,0.8870,204,245,259,295
24,test_patient0001_0218,0,0.8898,203,243,261,296
25,test_patient0001_0219,0,0.8944,202,244,261,296
26,test_patient0001_0220,0,0.8949,201,245,261,296
27,test_patient0001_0221,0,0.8863,201,245,262,296
28,test_patient0001_0222,0,0.6640,206,244,262,296
29,test_patient0001_0222,0,0.6594,229,245,262,296
30,test_patient0001_0223,0,0.7951,230,245,262,296
31,test_patient0001_0224,0,0.7718,229,246,262,297
32,test_patient0001_0225,0,0.8165,229,246,263,296
33,test_patient0001_0226,0,0.8012,230,246,263,296
34,test_patient0001_0227,0,0.8223,230,246,263,297
35,test_patient0001_0228,0,0.7956,231,245,264,297
36,test_patient0001_0229,0,0.8547,234,245,264,297
37,test_patient0001_0230,0,0.8715,235,245,264,297
38,test_patient0001_0231,0,0.8710,234,245,263,297
39,test_patient0001_0232,0,0.8566,233,245,263,297
40,test_patient0001_0233,0,0.8483,230,246,263,298
41,test_patient0001_0234,0,0.8719,228,246,263,297
42,test_patient0001_0235,0,0.8779,228,245,263,298
43,test_patient0001_0236,0,0.8768,229,245,263,297
44,test_patient0001_0237,0,0.8755,229,244,263,298
45,test_patient0001_0238,0,0.8709,228,244,263,298
46,test_patient0001_0239,0,0.8682,228,244,262,297
47,test_patient0001_0240,0,0.8668,229,244,262,297
48,test_patient0001_0241,0,0.8608,230,243,262,298
49,test_patient0001_0242,0,0.8553,230,243,262,299
50,test_patient0001_0243,0,0.8510,231,243,262,298
51,test_patient0001_0244,0,0.8502,231,243,262,298
52,test_patient0001_0245,0,0.8485,232,243,262,299
53,test_patient0001_0246,0,0.8523,233,242,262,299
54,test_patient0001_0247,0,0.8517,234,243,261,299
55,test_patient0001_0248,0,0.8629,234,243,260,298
56,test_patient0001_0249,0,0.8700,233,242,261,298
57,test_patient0001_0250,0,0.8672,232,241,261,298
58,test_patient0001_0251,0,0.8701,231,240,263,298
59,test_patient0001_0252,0,0.8737,230,240,265,298
60,test_patient0001_0253,0,0.8757,229,239,266,298
61,test_patient0001_0254,0,0.8786,228,240,266,298
62,test_patient0001_0255,0,0.8683,226,240,265,298
63,test_patient0001_0256,0,0.8558,226,240,268,298
64,test_patient0001_0257,0,0.8127,226,240,269,298
65,test_patient0001_0257,0,0.2940,226,240,265,283
66,test_patient0001_0258,0,0.7846,224,238,264,297
67,test_patient0001_0258,0,0.5726,238,238,263,261
68,test_patient0001_0259,0,0.8268,222,236,261,297
69,test_patient0001_0259,0,0.5122,238,235,261,257
70,test_patient0001_0260,0,0.8118,223,235,259,296
71,test_patient0001_0260,0,0.4026,237,235,259,254
72,test_patient0001_0261,0,0.7158,236,235,258,252
73,test_patient0001_0261,0,0.5070,223,234,257,295
74,test_patient0001_0262,0,0.6903,236,235,257,250
75,test_patient0001_0263,0,0.7155,235,234,257,249
76,test_patient0001_0264,0,0.6552,235,235,254,247
77,test_patient0001_0265,0,0.6444,235,235,253,246
78,test_patient0001_0266,0,0.5786,235,234,253,246
79,test_patient0001_0267,0,0.6335,236,234,252,245
80,test_patient0001_0268,0,0.5570,235,233,252,245
81,test_patient0001_0282,0,0.3460,231,239,243,248
82,test_patient0001_0282,0,0.3290,230,237,242,248
83,test_patient0001_0283,0,0.5319,230,239,240,248
84,test_patient0001_0284,0,0.6119,229,239,240,249
85,test_patient0001_0285,0,0.6365,228,238,239,249
86,test_patient0001_0286,0,0.6172,226,236,237,249
87,test_patient0001_0287,0,0.5606,226,237,236,249
88,test_patient0001_0288,0,0.4716,227,239,237,250
89,test_patient0001_0305,0,0.4115,246,327,255,336
90,test_patient0001_0306,0,0.2856,247,327,255,335
91,test_patient0002_0088,0,0.3366,203,294,225,320
92,test_patient0002_0125,0,0.7112,251,311,277,344
93,test_patient0002_0147,0,0.8055,231,260,249,283
94,test_patient0002_0148,0,0.7825,229,256,249,283
95,test_patient0002_0149,0,0.8008,229,255,249,282
96,test_patient0002_0150,0,0.8255,229,253,250,284
97,test_patient0002_0151,0,0.8194,228,251,250,285
98,test_patient0002_0152,0,0.8341,229,250,251,285
99,test_patient0002_0153,0,0.8433,228,248,251,286
100,test_patient0002_0154,0,0.8453,225,246,251,286
101,test_patient0002_0155,0,0.8498,224,245,252,287
102,test_patient0002_0156,0,0.8537,224,243,252,287
103,test_patient0002_0157,0,0.8562,224,242,252,287
104,test_patient0002_0158,0,0.8533,224,240,252,287
105,test_patient0002_0159,0,0.8422,223,240,252,288
106,test_patient0002_0160,0,0.8175,220,234,254,288
107,test_patient0002_0161,0,0.8371,219,234,255,288
